Sic         	0.0	0.179	0.115	0.207	0.231	0.148	0.241	0.308	0.393	0.393	0.261	0.25	0.292	0.28	0.28	0.357	0.28	0.28	0.269	0.304	0.304	0.273	0.304	0.385	0.385	0.348	0.318	0.318	0.409	0.409	0.7	0.7	0.583	0.545	0.423	0.4	0.565	0.591	0.524	0.545	0.545	0.5	0.5	0.522	0.522	0.522	0.545	0.524	0.524	0.524	0.524	0.476	0.52	0.538	0.593	0.636	0.476	0.476
NCa         	0.179	0.0	0.143	0.226	0.31	0.233	0.2	0.269	0.357	0.357	0.32	0.308	0.346	0.308	0.269	0.321	0.269	0.269	0.286	0.304	0.304	0.273	0.304	0.407	0.407	0.348	0.318	0.318	0.409	0.409	0.7	0.7	0.583	0.545	0.444	0.423	0.6	0.591	0.524	0.545	0.545	0.5	0.5	0.522	0.522	0.522	0.545	0.524	0.524	0.524	0.524	0.476	0.48	0.5	0.607	0.636	0.476	0.476
It         	0.115	0.143	0.0	0.2	0.222	0.143	0.2	0.333	0.379	0.379	0.28	0.269	0.308	0.296	0.231	0.31	0.231	0.231	0.31	0.292	0.292	0.261	0.292	0.429	0.429	0.348	0.318	0.318	0.409	0.409	0.7	0.7	0.583	0.545	0.444	0.423	0.583	0.591	0.524	0.545	0.545	0.5	0.5	0.522	0.522	0.522	0.545	0.524	0.524	0.524	0.524	0.476	0.52	0.538	0.607	0.636	0.476	0.476
Sp         	0.207	0.226	0.2	0.0	0.214	0.103	0.25	0.321	0.31	0.31	0.28	0.2	0.24	0.231	0.269	0.31	0.269	0.269	0.276	0.292	0.292	0.261	0.292	0.393	0.393	0.304	0.273	0.238	0.409	0.409	0.6	0.6	0.5	0.455	0.483	0.464	0.6	0.591	0.524	0.545	0.545	0.5	0.522	0.478	0.478	0.478	0.5	0.476	0.476	0.476	0.476	0.5	0.44	0.462	0.621	0.652	0.476	0.476
Fr         	0.231	0.31	0.222	0.214	0.0	0.185	0.276	0.36	0.37	0.37	0.304	0.292	0.333	0.32	0.32	0.357	0.32	0.32	0.37	0.375	0.375	0.375	0.375	0.36	0.36	0.333	0.3	0.263	0.455	0.455	0.625	0.625	0.545	0.5	0.462	0.417	0.625	0.652	0.55	0.591	0.609	0.565	0.565	0.545	0.545	0.545	0.571	0.55	0.55	0.55	0.55	0.545	0.542	0.538	0.615	0.591	0.524	0.524
Ptg         	0.148	0.233	0.143	0.103	0.185	0.0	0.258	0.333	0.379	0.379	0.28	0.2	0.24	0.231	0.269	0.31	0.269	0.269	0.31	0.292	0.292	0.261	0.292	0.393	0.393	0.348	0.318	0.286	0.409	0.409	0.7	0.7	0.583	0.545	0.464	0.444	0.583	0.591	0.524	0.545	0.545	0.5	0.5	0.522	0.522	0.522	0.545	0.524	0.524	0.524	0.524	0.476	0.48	0.5	0.607	0.652	0.476	0.476
Rm         	0.241	0.2	0.2	0.25	0.276	0.258	0.0	0.296	0.367	0.367	0.333	0.296	0.333	0.321	0.25	0.312	0.276	0.267	0.281	0.333	0.333	0.333	0.333	0.414	0.414	0.348	0.318	0.286	0.409	0.409	0.7	0.7	0.615	0.583	0.448	0.429	0.63	0.609	0.524	0.565	0.565	0.522	0.522	0.542	0.542	0.542	0.565	0.545	0.545	0.545	0.545	0.5	0.48	0.5	0.607	0.667	0.476	0.476
CG         	0.308	0.269	0.333	0.321	0.36	0.333	0.296	0.0	0.2	0.2	0.304	0.292	0.333	0.25	0.32	0.333	0.32	0.32	0.308	0.273	0.273	0.273	0.273	0.36	0.36	0.391	0.364	0.318	0.478	0.478	0.7	0.7	0.615	0.583	0.462	0.44	0.565	0.571	0.524	0.545	0.524	0.545	0.583	0.5	0.5	0.5	0.524	0.5	0.5	0.5	0.5	0.545	0.625	0.64	0.52	0.6	0.45	0.45
Grk         	0.393	0.357	0.379	0.31	0.37	0.379	0.367	0.2	0.0	0.036	0.28	0.269	0.308	0.231	0.296	0.31	0.296	0.296	0.31	0.2	0.2	0.2	0.2	0.385	0.385	0.348	0.318	0.273	0.458	0.458	0.6	0.6	0.538	0.5	0.448	0.5	0.522	0.545	0.5	0.522	0.5	0.522	0.577	0.455	0.455	0.455	0.476	0.45	0.45	0.45	0.45	0.542	0.652	0.583	0.593	0.619	0.429	0.429
CyG         	0.393	0.357	0.379	0.31	0.37	0.379	0.367	0.2	0.036	0.0	0.28	0.269	0.308	0.231	0.296	0.31	0.296	0.296	0.31	0.2	0.2	0.2	0.2	0.385	0.385	0.348	0.318	0.273	0.458	0.458	0.6	0.6	0.538	0.5	0.448	0.5	0.522	0.545	0.5	0.522	0.5	0.522	0.577	0.455	0.455	0.455	0.476	0.45	0.45	0.45	0.45	0.542	0.652	0.583	0.593	0.619	0.429	0.429
E         	0.261	0.32	0.28	0.28	0.304	0.28	0.333	0.304	0.28	0.28	0.0	0.16	0.125	0.192	0.154	0.222	0.154	0.154	0.259	0.261	0.261	0.261	0.261	0.333	0.333	0.381	0.35	0.316	0.4	0.4	0.75	0.75	0.6	0.556	0.44	0.417	0.545	0.55	0.444	0.5	0.5	0.45	0.5	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.5	0.526	0.55	0.6	0.6	0.474	0.474
Du         	0.25	0.308	0.269	0.2	0.292	0.2	0.296	0.292	0.269	0.269	0.16	0.0	0.083	0.08	0.154	0.185	0.154	0.154	0.222	0.217	0.217	0.217	0.217	0.32	0.32	0.333	0.3	0.263	0.35	0.35	0.75	0.75	0.6	0.556	0.444	0.423	0.583	0.571	0.474	0.524	0.524	0.476	0.524	0.545	0.545	0.545	0.571	0.526	0.55	0.55	0.55	0.524	0.5	0.524	0.577	0.636	0.421	0.421
Afk         	0.292	0.346	0.308	0.24	0.333	0.24	0.333	0.333	0.308	0.308	0.125	0.083	0.0	0.12	0.192	0.222	0.192	0.192	0.259	0.261	0.261	0.261	0.261	0.36	0.36	0.381	0.35	0.316	0.4	0.4	0.75	0.75	0.6	0.556	0.462	0.44	0.565	0.55	0.444	0.5	0.5	0.45	0.5	0.524	0.524	0.524	0.55	0.5	0.526	0.526	0.526	0.5	0.474	0.5	0.615	0.619	0.474	0.474
D         	0.28	0.308	0.296	0.231	0.32	0.231	0.321	0.25	0.231	0.231	0.192	0.08	0.12	0.0	0.185	0.148	0.185	0.185	0.25	0.174	0.174	0.208	0.208	0.28	0.28	0.364	0.333	0.3	0.381	0.381	0.778	0.778	0.636	0.6	0.444	0.423	0.583	0.571	0.474	0.524	0.524	0.476	0.545	0.545	0.545	0.545	0.571	0.526	0.55	0.55	0.55	0.545	0.524	0.545	0.577	0.636	0.421	0.421
